date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:04	1190/1190	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2013%20Oct%202016%2017:05:59%20GMT	http://www.makeproductions.com/wp-content/plugins/google-analyticator/external-tracking.min.js	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/plugins/google-analyticator/external-tracking.min.js	(from http://www.makeproductions.com/)
12:17:05	872/872	---MCZ	200	added ('OK')	text/xml	date:Fri,%2003%20Aug%202018%2011:17:05%20GMT	http://www.makeproductions.com/xmlrpc.php?rsd	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/xmlrpc0db0.php	(from http://www.makeproductions.com/)
12:17:06	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Sun,%2011%20Dec%202016%2020:29:26%20GMT	http://www.makeproductions.com/wp-includes/wlwmanifest.xml	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-includes/wlwmanifest.xml	(from http://www.makeproductions.com/)
12:17:06	52661/52661	---MCZ	200	added ('OK')	application/json	date:Fri,%2003%20Aug%202018%2011:17:05%20GMT	http://www.makeproductions.com/wp-json/	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-json/index.html	(from http://www.makeproductions.com/)
12:17:08	2226/2226	---MCZ	200	added ('OK')	application/json	date:Fri,%2003%20Aug%202018%2011:17:07%20GMT	http://www.makeproductions.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.makeproductions.com%2F	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-json/oembed/1.0/embedb020.json	(from http://www.makeproductions.com/)
12:17:09	15061/15061	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Nov%202015%2002:55:55%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/08/MAKE-Productions-Logo2.png	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/uploads/2015/08/MAKE-Productions-Logo2.png	(from http://www.makeproductions.com/)
12:17:09	2325/2325	---MCZ	200	added ('OK')	text/xml	date:Fri,%2003%20Aug%202018%2011:17:08%20GMT	http://www.makeproductions.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.makeproductions.com%2F&format=xml	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-json/oembed/1.0/embed49ed	(from http://www.makeproductions.com/)
12:17:16	75085/75085	---M--	200	added ('OK')	image/png	date:Tue,%2016%20Jan%202018%2011:55:48%20GMT	http://www.makeproductions.com/wp-content/uploads/2018/01/702.png	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/uploads/2018/01/702.png	(from http://www.makeproductions.com/)
12:17:16	23912/23912	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2011:17:11%20GMT	http://www.makeproductions.com/showreel-trailers/	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/showreel-trailers/index.html	(from http://www.makeproductions.com/)
12:17:18	35502/35502	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2011:17:12%20GMT	http://www.makeproductions.com/who/	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/who/index.html	(from http://www.makeproductions.com/)
12:17:18	12952/12952	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jan%202018%2011:57:36%20GMT	http://www.makeproductions.com/wp-content/uploads/2018/01/TVF2017-e1516103856204.jpg	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/wp-content/uploads/2018/01/TVF2017-e1516103856204.jpg	(from http://www.makeproductions.com/)
12:17:18	75111/75111	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Aug%202018%2011:17:13%20GMT	http://www.makeproductions.com/awards/	/Users/hamish/websites/Make%20Waves/www.makeproductions.com/awards/index.html	(from http://www.makeproductions.com/)
